passage_id,deal_id,document_id,source_url,supporting_excerpt,dominant_topic,dominant_weight,topic_5787d58e,topic_1a765e60,topic_0036981e
passage_5c8cb89d9f16a1da,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Study: 79% of Bank Employees Say Streamlining Administrative Tasks Boosts Job Satisfaction,topic_5787d58e,0.4684,0.4684,0.1069,0.4247
passage_5d4b855751cf2fbf,3201487020,supp_afd5f3e53a041df6,https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,"Following Smartsheet’s recent unveiling of new automation features to accelerate workplace productivity, the Converse.AI acquisition represents another step forward in the company’s long-held philosophy of “practical innovation”— empowering knowledge workers to build and manage powerful workflow and automation solutions, irrespective of their technical prowess. The Converse.AI Chatflow technology, launched in 2016, is a workflow orchestration engine that enables business users to easily build and manage bots—via a drag-and-drop interface—without writing any code.",topic_0036981e,0.8104,0.1859,0.0037,0.8104
passage_6165a0701c7135a5,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Improves Worker Productivity with Its First Individually Assigned Enterprise Mobile Computer,topic_5787d58e,0.9856,0.9856,0.0144,0.0
passage_63175763f5942696,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,Jordan M. Darrow Darrow Associates Inc. - Founder and CEO,topic_0036981e,1.0,0.0,0.0,1.0
passage_68a024fb024bc605,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Empowers Front-Line Workers with Next-Generation Mobile Computing Solution,topic_5787d58e,1.0,1.0,0.0,0.0
passage_6c4d292ed3b7acfd,3153170020,supp_6bb6449c48074311,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,"“It’s impossible to ignore the impact of chat and messaging, not just on the way B2B companies operate, but on society as a whole. We’re in the midst of a massive shift as businesses embrace this new platform and consumers come to expect more immediate, always-on communication from brands,” said Brian Halligan, co-founder and CEO of HubSpot. “HubSpot’s mission has always been to build technology that helps SMBs grow and evolve with changing consumer behaviors, and acquiring Motion AI is another great step in that direction.”",topic_0036981e,1.0,0.0,0.0,1.0
passage_6d3ecd439b83874c,3947466040,supp_cedfc0619ce50a42,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,"Headquartered in Tel Aviv, Israel , Databand.ai employees will join IBM Data and AI, further building on IBM's growing portfolio of Data and AI products, including its IBM Watson capabilities and IBM Cloud Pak for Data. Financial details of the deal were not disclosed. The acquisition closed on June 27, 2022 .",topic_0036981e,1.0,0.0,0.0,1.0
passage_6d5b73b4b3d18264,3078525020,supp_327ff1ecfdd9a623,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,"Attendees at Google Cloud Next ‘17 heard stories from many of our valued customers: 59. Colgate - Colgate-Palmolive partnered with Google Cloud and SAP to bring thousands of employees together through G Suite collaboration and productivity tools. The company deployed G Suite to 28,000 employees in less than six months. 60. Disney Consumer Products & Interactive (DCPI) - DCPI is on target to migrate out of its legacy infrastructure this year, and is leveraging machine learning to power next generation guest experiences. 61. eBay - eBay uses Google Cloud technologies including Google Container Engine, Machine Learning and AI for its ShopBot , a personal shopping bot on Facebook Messenger. 62. HSBC - HSBC is one of the world's largest financial and banking institutions and making a large investment in transforming its global IT. The company is working closely with Google to deploy Cloud DataFlow, BigQuery and other data services to power critical proof of concept projects. 63. LUSH - LUSH migrated its global e-commerce site from AWS to GCP in less than six weeks, significantly improving the reliability and stability of its site. LUSH benefits from GCP’s ability to scale as transaction volume surges, which is critical for a retail business. In addition, Google's commitment to renewable energy sources aligns with LUSH's ethical principles. 64. Oden Technologies - Oden was part of Google Cloud’s startup program, and",topic_0036981e,0.8934,0.1066,0.0,0.8934
passage_72378914b191a65a,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,First Tech Federal Credit Union Selects Zebra Technologies to Digitize Banking,topic_5787d58e,0.6975,0.6975,0.0652,0.2373
passage_7ef6fd7ccffe6fd9,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,"Automate inquiries, empower your team with knowledge, and unlock instant insights. Glia Banker Automate up to 80% of banking inquiries Glia Outreach Automate campaigns for loans, payments, renewals, and more Glia CoPilot Grow assets and empower your team with knowledge Glia Analyst Elevate coaching & workforce planning Glia Agentic Workflows Automate complex banking tasks with agentic AI Glia Voice",topic_0036981e,0.789,0.0442,0.1668,0.789
passage_7f859f48f7729ac3,3947466040,supp_cedfc0619ce50a42,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,"""You can't protect what you can't see, and when the data platform is ineffective, everyone is impacted –including customers,"" said Josh Benamram , Co-Founder and CEO, Databand.ai. ""That's why global brands such as FanDuel, Agoda and Trax Retail already rely on Databand.ai to remove bad data surprises by detecting and resolving them before they create costly business impacts. Joining IBM will help us scale our software and significantly accelerate our ability to meet the evolving needs of enterprise clients.""",topic_0036981e,1.0,0.0,0.0,1.0
passage_8b5ef75354ae837c,3939905020,supp_e28fecde52a19db4,https://www.glia.com/news/glia-acquires-finn-ai,"establishing a “Conversational AI Center of Excellence.” The strong presence in Canada aligns with Glia’s global expansion strategy. The Finn AI leadership team will assume leadership positions within Glia to further develop AI automation and virtual assistant solutions for the Glia DCS platform. About Finn AI Founded in 2014, Finn AI is the leading AI-powered virtual assistant platform for banks and credit unions. Finn AI’s turnkey virtual assistant makes banking easier and more convenient for customers while delivering the operational efficiencies and cost savings of conversational AI. Finn AI has partnered with major FIs including ATB Financial, BECU, United Federal Credit Union, EQ Bank, Civista Bank, Truist Momentum and more. For more information, visit http://www.finn.ai . ‍ About Glia Glia is reinventing how businesses support their customers in a digital world. Glia's Digital Customer Service (DCS) solution enriches web and mobile experiences with digital communication choices, on-screen collaboration, and AI-enabled assistance. Glia has partnered with over 300 banks, credit unions, insurance companies and other financial institutions worldwide to improve the customer experience and drive business results. Named both a Deloitte Technology Fast 500TM company and a Great Place to Work (with a 97% employee satisfaction rating) for a second year in a row, Glia continues to achieve broad industry recognition and customer service thought leadership including publishing the definitive",topic_0036981e,0.9651,0.027,0.0079,0.9651
passage_949618066d7a7221,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Technologies Introduces Five Rugged Mobile Computers to Increase Front-Line Worker Productivity,topic_5787d58e,1.0,1.0,0.0,0.0
passage_98e566a20b2a9e14,3201487020,supp_afd5f3e53a041df6,https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,"Headquartered in Bellevue, Washington, Smartsheet has more than 760 employees in its Bellevue and Boston offices as of January 2018. To learn more, visit www.Smartsheet.com.",topic_0036981e,0.9842,0.0,0.0158,0.9842
passage_a003b89be13ba97b,3701621020,supp_de9d737d2dd430ac,https://www.algolia.com/blog/algolia/i-co-founded-the-ai-company-that-joined-algolia,"On October 21st, 2020, just as my MorphL co-founder Alexandra and I were getting ready to sign a term sheet from an investor, I was looking at our product registrations in HubSpot, and noticed that both the CTO and the VP of Engineering of Algolia signed up for our product on the same day. This, of course, raised a few questions in my head, so I opted for a direct approach: I emailed to welcome them to the product personally, and offered a demo. In our first conversation, Julien and Sylvain were both candid about their interest in joining forces, and we wasted no time in exploring product, value, and market fit.",topic_0036981e,0.9452,0.0,0.0548,0.9452
passage_a0f9acef0fdc5332,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Zebra Named Leader in 2024 Nucleus Research Workforce Management Technology Value Matrix,topic_1a765e60,1.0,0.0,1.0,0.0
passage_a25496ff66f1efd7,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,"Britain’s Warehouse and Retail Workers Say Technology Makes Jobs Easier, More Enjoyable",topic_0036981e,0.5028,0.3758,0.1215,0.5028
passage_a6761b7d152f05b0,3257183040,supp_2d6e94103484791d,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,Labor & Union,topic_0036981e,0.5972,0.3937,0.0091,0.5972
passage_a97eade5682dd512,3701621020,supp_de9d737d2dd430ac,https://www.algolia.com/blog/algolia/i-co-founded-the-ai-company-that-joined-algolia,"MorphL is the third company my co-founder Alexandra Anghel and I started together. We share an entrepreneurial spirit that had us founding a web dev agency in college. While we successfully grew it into a 15-people company, we also both yearned for creating a product. In 2010, our first startup was selected by a tech accelerator in Copenhagen, and while it wasn’t a full-blown success, it provided many gotchas and lessons that led us to founding MorphL in 2017. In September 2018, we got a free grant from the European Data Incubator and started developing MorphL SaaS, pivoting from media publishing to ecommerce, and being selected to the 2019 Techstars Montréal AI Accelerator ..",topic_0036981e,1.0,0.0,0.0,1.0
passage_af3870e143af9088,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,"Thank you, operator. Good afternoon, everyone, and thank you for joining us. With me on the call today are Dr. Ted Tewksbury, Velodyne’s Chief Executive Officer; and Mark Weinswig, Chief Financial Officer.",topic_0036981e,0.9221,0.0779,0.0,0.9221
passage_b5d837129601c64c,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,70% of Frontline Workers Report Rising Concerns with Injuries on the Warehouse Floor,topic_5787d58e,0.9598,0.9598,0.0,0.0402
passage_b61a12d56792d283,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Shoe Sensation Improves Store Execution and Labor Scheduling with Zebra Software Solutions,topic_5787d58e,0.752,0.752,0.2032,0.0448
passage_b7c15ff824bee49e,3701621020,supp_f27a205c0a017de2,https://www.globenewswire.com/news-release/2021/01/26/2164201/0/en/Algolia-Acquires-MorphL-Launches-AI-Powered-Predictive-Experiences-and-Personalization.html,"Ciprian Borodescu, Chief Executive Officer, MorphL, added: “Many companies are trying to make it easier to use AI, but few are making it as simple as MorphL. Indeed, our mission has always been to democratize AI and to empower developers and marketers, who wish to enhance their digital offerings with a simple ‘plug and play’ building block interface for building their intent-based, omnichannel sites and applications.”",topic_0036981e,0.9346,0.0654,0.0,0.9346
passage_bc22833d2d7672e5,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Maverik Selects Zebra and Reflexis to Streamline Store Execution and Labor Scheduling,topic_5787d58e,0.5658,0.5658,0.4342,0.0
passage_bcbca2530b3bb203,3078525020,supp_327ff1ecfdd9a623,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,"switched its entire platform to GCP from AWS. GCP offers Oden the ability to reliably scale while keeping costs low, perform under heavy loads and consistently delivers sophisticated features including machine learning and data analytics. 65. Planet - Planet migrated to GCP in February, looking to accelerate their workloads and leverage Google Cloud for several key advantages: price stability and predictability, custom instances, first-class Kubernetes support, and Machine Learning technology. Planet also announced the beta release of their Explorer platform. 66. Schlumberger - Schlumberger is making a critical investment in the cloud, turning to GCP to enable high-performance computing, remote visualization and development velocity. GCP is helping Schlumberger deliver innovative products and services to its customers by using HPC to scale data processing, workflow and advanced algorithms. 67. The Home Depot - The Home Depot collaborated with GCP’s Customer Reliability Engineering team to migrate HomeDepot.com to the cloud in time for Black Friday and Cyber Monday. Moving to GCP has allowed the company to better manage huge traffic spikes at peak shopping times throughout the year. 68. Verizon - Verizon is deploying G Suite to more than 150,000 of its employees, allowing for collaboration and flexibility in the workplace while maintaining security and compliance standards. Verizon and Google Cloud have been working together for more than a year to bring simple and",topic_0036981e,0.9886,0.0,0.0114,0.9886
passage_be8908cba27a3da5,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Scottish & Southern Electricity Networks (SSEN) Improves Front-Line Workers’ Productivity with Zebra Technologies,topic_5787d58e,1.0,1.0,0.0,0.0
passage_bf00662c0390942e,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,"Zebra Study: Real-Time Data Access is Critical for Energy, Utilities Field Workers",topic_0036981e,0.5005,0.4904,0.0091,0.5005
passage_bf1c5581dc674300,3201487020,supp_afd5f3e53a041df6,https://www.smartsheet.com/content-center/news/smartsheet-announces-converseai-natural-language-automation-acquisition,"“As we started to engage with Smartsheet, we saw an exciting opportunity to bring the capabilities of Converse.AI to Smartsheet’s global customer base. Smartsheet’s entrepreneurial culture and approach to enabling accessible workflow automation in the enterprise is very much aligned with our own vision. Together we form a complementary platform that is reflective of how businesses want to extract value from technology,” said Tony Lucas, Converse.AI founder and CEO.",topic_0036981e,0.9381,0.0,0.0619,0.9381
passage_c0d85fc860dd084f,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,"I talked about the eve auto Service in the prepared remarks. And basically, just to elaborate a little bit more on that, this is an automated conveyance service. So these are small electric vehicles that are being rolled out by this joint development between Yamaha Motor and Tier IV. And these will navigate factories autonomously, both indoor and outdoor. And lidar is essential in these kinds of applications to provide the safety in these kinds of warehouse environments and factories where you’re going to have these automated electric vehicles, autonomous vehicles co-working with human workers. And so obviously, safety is a paramount importance there. And then the eve auto service also layers on top of that, fleet management services, mapping services and so forth. So we think that’s going to be a very good growth opportunity for us.",topic_0036981e,0.6923,0.0613,0.2464,0.6923
passage_c303eacb37876ebf,3078525020,supp_327ff1ecfdd9a623,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,"In the past year, we’ve launched 300+ features and updates for G Suite and this week we announced our next generation of collaboration and communication tools. 45. Team Drives (GA for G Suite Business, Education and Enterprise customers) - Team Drives help teams simply and securely manage permissions, ownership and file access for an organization within Google Drive. 46. Drive File Stream (EAP) - Drive File Stream is a way to quickly stream files directly from the cloud to your computer With Drive File Steam, company data can be accessed directly from your laptop, even if you don’t have much space on your hard drive. 47. Google Vault for Drive (GA for G Suite Business, Education and Enterprise customers ) - Google Vault for Drive now gives admins the governance controls they need to manage and secure all of their files, including employee Drives and Team Drives. Google Vault for Drive also lets admins set retention policies that automatically keep what’s needed and delete what’s not. 48. Quick Access in Team Drives (GA) - powered by Google’s machine intelligence, Quick Access helps to surface the right information for employees at the right time within Google Drive. Quick Access now works with Team Drives on iOS and Android devices, and is coming soon to the web. 49. Hangouts Meet (GA to existing customers) - Hangouts Meet is",topic_0036981e,0.9065,0.0375,0.056,0.9065
passage_c8093868dd42eab8,3769973020,supp_51c55fd18a22cc50,https://www.fortinet.com/blog/business-and-technology/fortinet-acquires-application-security-innovator-skenai-to-accelerate-devsecops,"Sken.ai’s former Founder and CEO, Sundar Krish, has joined Fortinet as the General Manager of DevSecOps to accelerate the Fortinet vision of providing modern AppSec for DevOps.",topic_0036981e,1.0,0.0,0.0,1.0
passage_c88b268c4ea1b722,3984774040,supp_27bba806dccbb131,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,"transaction may not be completed in a timely manner or at all, which may adversely affect Ouster’s and Velodyne’s businesses and the price of their respective securities; (ii) uncertainties as to the timing of the consummation of the proposed transaction and the potential failure to satisfy the conditions to the consummation of the proposed transaction, including obtaining stockholder and regulatory approvals; (iii) the proposed transaction may involve unexpected costs, liabilities or delays; (iv) the effect of the announcement, pendency or completion of the proposed transaction on the ability of Ouster or Velodyne to retain and hire key personnel and maintain relationships with customers, suppliers and others with whom Ouster or Velodyne does business, or on Ouster’s or Velodyne’s operating results and business generally; (v) Ouster’s or Velodyne’s respective businesses may suffer as a result of uncertainty surrounding the proposed transaction and disruption of management’s attention due to the proposed transaction; (vi) the outcome of any legal proceedings related to the proposed transaction or otherwise, or the impact of the proposed transaction thereupon; (vii) Ouster or Velodyne may be adversely affected by other economic, business, and/or competitive factors; (viii) the occurrence of any event, change or other circumstances that could give rise to the termination of the merger agreement and the proposed transaction; (ix) restrictions during the pendency of the",topic_0036981e,0.8622,0.0,0.1378,0.8622
passage_ca105f56c1a47a59,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Empower your field workers with purpose-driven mobile technology solutions to help them capture and share critical data in any environment.,topic_5787d58e,0.4961,0.4961,0.0512,0.4527
passage_cbb32f754ce6eda1,3769973020,supp_51c55fd18a22cc50,https://www.fortinet.com/blog/business-and-technology/fortinet-acquires-application-security-innovator-skenai-to-accelerate-devsecops,"Sken.ai is a DevOps-first AppSec product, offering continuous AppSec Testing. DevOps personnel can use this product, even without AppSec expertise. Just by adding two lines of code, Sken.ai can seamlessly integrates with all major DevOps CI/CD platforms.",topic_0036981e,1.0,0.0,0.0,1.0
passage_d012fd8139a07603,3623364020,supp_483684a4076e1a42,https://365retailmarkets.com/blog/365-retail-markets-acquires-stockwell,Strengthen your food offering and meet the expectations of your employees dining wants and needs.,topic_0036981e,1.0,0.0,0.0,1.0
passage_d2af94049325cd2e,3767523020,supp_1850451931a95a19,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,Eight in 10 Warehouse Associates Say Positive Workplace Changes are Happening Amid Labor Shortage,topic_0036981e,0.776,0.2239,0.0001,0.776
