topic_label,rank,passage_id,deal_id,source_url,topic_weight,supporting_excerpt,human_fit_label,reviewer_note
topic_1a765e60,5,passage_a0f9acef0fdc5332,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,1.0,Zebra Named Leader in 2024 Nucleus Research Workforce Management Technology Value Matrix,,
topic_1a765e60,6,passage_e5a65ef006ed8c96,3257183040,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,1.0,Human Resource & Workforce Management,,
topic_1a765e60,7,passage_2370eb8b672cf483,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9846,Workcloud Workforce Optimization Suite,,
topic_1a765e60,8,passage_0bd8ffe0aeae67ab,3767523020,https://www.zebra.com/us/en/about-zebra/newsroom/press-releases/2021/zebra-technologies-to-acquire-fetch-robotics.html,0.9061,Nucleus Research Names Zebra Workcloud Task and Workforce Management Solutions Enterprise Leaders,,
topic_1a765e60,9,passage_2cf3c77a8aa72614,3153170020,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,0.759,Management Team,,
topic_1a765e60,10,passage_ec77b33430e0f1b4,3078525020,https://blog.google/innovation-and-ai/infrastructure-and-cloud/google-cloud/100-announcements-google-cloud-next-17/,0.5873,secure productivity solutions to Verizon’s workforce,,
topic_0036981e,1,passage_243beb2712293a24,3939905020,https://www.glia.com/news/glia-acquires-finn-ai,1.0,"been able to achieve widespread adoption on their own,” said Dan Michaeli, co-founder and CEO of Glia. “Glia’s large and rapidly growing customer base , combined with solid financial backing to accelerate the pace of innovation, immediately brings that scale. Finn AI is a strong fit for Glia based on its technology, market approach and company culture. We are thrilled to welcome the Finn AI team to Glia,” Michaeli continued. It was apparent when Finn AI first launched its banking-focused virtual assistant for Glia’s DCS platform in 2020 that the two companies shared a vision. “Our vertical approach and tight integration with Glia helps financial institutions reduce the costs, extensive training and development time typically required for general AI platforms. Now as part of Glia, we will have the scale to deliver automation solutions to the market as part of a seamless Digital Customer Service platform that delivers the best of both self-service and human assistance when and where it is most convenient for customers. With our existing integration and satisfied joint customers, we will hit the ground running. This is an exciting next step in our journey and we couldn’t be happier to be a part of Glia” said Jake Tyler, co-founder and CEO of Finn AI. Glia will maintain and expand the presence in the Finn AI Canada office",,
topic_0036981e,2,passage_4204551be0436452,3939905020,https://www.glia.com/news/glia-acquires-finn-ai,1.0,Deposit Growth & Retention Win deposits and keep customers happy with fast service.,,
topic_0036981e,3,passage_47b20fe4d63ccae0,3257183040,https://www.prnewswire.com/news-releases/leanplum-acquires-connecto-a-conversational-marketing-company-300668664.html,1.0,Personnel Announcements,,
topic_0036981e,4,passage_47c22e2904d71f3f,3348911020,https://sensory.com/news/sensory-acquires-vocalize-ai-for-speech-technology-testing-capabilities/,1.0,Founder & CEO,,
topic_0036981e,5,passage_63175763f5942696,3984774040,https://www.sec.gov/Archives/edgar/data/1745317/000119312522281315/d413040d425.htm,1.0,Jordan M. Darrow Darrow Associates Inc. - Founder and CEO,,
topic_0036981e,6,passage_6c4d292ed3b7acfd,3153170020,https://www.hubspot.com/company-news/hubspot-acquires-motion-ai-one-of-the-top-visual-chatbot-builders,1.0,"“It’s impossible to ignore the impact of chat and messaging, not just on the way B2B companies operate, but on society as a whole. We’re in the midst of a massive shift as businesses embrace this new platform and consumers come to expect more immediate, always-on communication from brands,” said Brian Halligan, co-founder and CEO of HubSpot. “HubSpot’s mission has always been to build technology that helps SMBs grow and evolve with changing consumer behaviors, and acquiring Motion AI is another great step in that direction.”",,
topic_0036981e,7,passage_6d3ecd439b83874c,3947466040,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,1.0,"Headquartered in Tel Aviv, Israel , Databand.ai employees will join IBM Data and AI, further building on IBM's growing portfolio of Data and AI products, including its IBM Watson capabilities and IBM Cloud Pak for Data. Financial details of the deal were not disclosed. The acquisition closed on June 27, 2022 .",,
topic_0036981e,8,passage_7f859f48f7729ac3,3947466040,https://newsroom.ibm.com/2022-07-06-IBM-Aims-to-Capture-Growing-Market-Opportunity-for-Data-Observability-with-Databand-ai-Acquisition,1.0,"""You can't protect what you can't see, and when the data platform is ineffective, everyone is impacted –including customers,"" said Josh Benamram , Co-Founder and CEO, Databand.ai. ""That's why global brands such as FanDuel, Agoda and Trax Retail already rely on Databand.ai to remove bad data surprises by detecting and resolving them before they create costly business impacts. Joining IBM will help us scale our software and significantly accelerate our ability to meet the evolving needs of enterprise clients.""",,
topic_0036981e,9,passage_a97eade5682dd512,3701621020,https://www.algolia.com/blog/algolia/i-co-founded-the-ai-company-that-joined-algolia,1.0,"MorphL is the third company my co-founder Alexandra Anghel and I started together. We share an entrepreneurial spirit that had us founding a web dev agency in college. While we successfully grew it into a 15-people company, we also both yearned for creating a product. In 2010, our first startup was selected by a tech accelerator in Copenhagen, and while it wasn’t a full-blown success, it provided many gotchas and lessons that led us to founding MorphL in 2017. In September 2018, we got a free grant from the European Data Incubator and started developing MorphL SaaS, pivoting from media publishing to ecommerce, and being selected to the 2019 Techstars Montréal AI Accelerator ..",,
topic_0036981e,10,passage_c8093868dd42eab8,3769973020,https://www.fortinet.com/blog/business-and-technology/fortinet-acquires-application-security-innovator-skenai-to-accelerate-devsecops,1.0,"Sken.ai’s former Founder and CEO, Sundar Krish, has joined Fortinet as the General Manager of DevSecOps to accelerate the Fortinet vision of providing modern AppSec for DevOps.",,
